"id","spotify_track_id","name","album","release_date"
USCM51000734,"3hlksXnvbKogFdPbpO9vel",Super Bass,Pink Friday (Complete Edition),2010-11-21
USUM71105219,"03yihw8LFlfZ3EfaLk1A1A",Time After Time,Time After Time (The Voice Performance),2011-01-01
USCN11100045,"59tUXZ9dL0qkaa18WCfUnZ",Am I The Only One,Home,2011-03-25
USWB11101137,"3wCSVS7KM9CIIHrChpabQ3",Better With The Lights Off,Too Cool to Care,2011-05-13
USVI20900433,"1V82d4T5gadqzboNVWKcMj",Closer To The Edge,This Is War (Deluxe),2009-12-04
USUM71020778,"2a1o6ZejUi8U3wzzOtCOYw",Danza Kuduro,Meet The Orphans,2010-04-12
USQX90900224,"6rjnRocdCULjLF61x2NR5e",Don't Stop,"Glee: The Music, Volume 1",2009-11-03
USQX91100395,"0sTyPK3qbH0u7dFJsEHQYm",Dreams,"Glee: The Music, Volume 6",2011-05-03
USUM71105406,"2c5Isyd07hWsl7AQia2Dig",Fast Lane,Hell: The Sequel (Deluxe),2011-05-04
USQX91100399,"6FRutNNsVM2xVV3FAhVZLP",Go Your Own Way,"Glee: The Music, Volume 6",2011-05-03
USUM71104906,"76sWab9iC3vvk21aln8G8t",I'm Into You,Love?,2011-04-29
USCN11100095,"2OXidlnDThZR3zf36k6DVL",Just A Kiss,Own The Night,2011-09-13
USQX91100396,"3A1LU2t2SpBsswCvM4P1cA",Never Going Back Again,Glee Season 2,2011-05-03
USWB11100967,"6haHIyPMUnVCZn6pHpyzM8",Not Ready To Die,"Not Ready to Die (From ""Call of the Dead"")",2011-05-02
USQX91100397,"3GZuofjHU2nu8kcifVt1SY",Songbird,"Glee: The Music, Volume 6",2011-05-03
GB28K1100001,"63rbP24OzfaQCJjsHWZXnY",Where Them Girls At,Nothing but the Beat 2.0,2011-08-24
USSM11102127,"3xuzbqmCALn6Ua8JeOrnZl",(It) Feels So Good,(It) Feels So Good,2011-05-10
USUM71105969,"6aD178OGxT0Z1NU36g52X5","9 Piece","9 Piece",2011-05-10
USQX91100380,"0WbeozTUWSSRhtghJL8J1B",Dancing Queen,"Glee: The Music, Volume 6",2011-05-10
USQX91100401,"3mV41uxrSBgMI1Ws6O2gXx",Friday,"Glee: The Music, The Complete Season Two",2011-05-10
GBCTA1100056,"0vKuYHEs83maj9GNB8Y0Hp",I Am Woman,I Am Woman,2011-05-06
USQX91100419,"3oEba5AKohMEKvRWqUkyCn",I'm Not Gonna Teach Your Boyfriend To Dance With You,"Glee: The Music, The Complete Season Two",2011-05-10
USQX91100409,"2Y3jOksd3DVmmznyGvMwzM",Isn't She Lovely,"Glee: The Music, Volume 6",2011-05-10
USUM71105294,"3O9nQmCkiA2VUAqQpkJZhD",Jack Sparrow,Turtleneck & Chain (Explicit Version),2011-05-09
USQX91100418,"3GHjSHDeB2Qy5BwGuNAIgD",Jar Of Hearts,"Glee: The Music, The Complete Season Two",2011-05-10
USAT21001570,"60IGhnH20N82dNxKnc8jDd",Knee Deep,You Get What You Give,2010-09-20
USQX91100408,"460opww0SOGYK2F4Lcv9gz",Rolling In The Deep,"Glee: The Music, Volume 6",2011-05-10
USUM71106458,"0JNdS1n0ifOP25XvhwAMgM",The Edge Of Glory,Born This Way,2011-05-09
USUG12302079,"6dTA6y0C2ReQklntzZl8l3",The Story Of Us,Speak Now (Taylor's Version),2023-07-07
USQX91100485,"3ElRruui1pSlpqr5mLTn4y",Back To Black,"Glee: The Music, The Complete Season Two",2011-05-17
USUM71106984,"79tbwF4mSrYD60Oo41JTXY",Ballin',TM:103 Hustlerz Ambition (Deluxe),2011-05-17
USUM71026619,"1NpDnkQO0yWxTtntrC0UNz",California King Bed,Loud,2010-08-18
USWB11101043,"1r3myKmjWoOqRip99CmSj1",Don't Wanna Go Home,Future History (Deluxe Edition),2011-05-20
USUM71106447,"2uk0YH2ahN0UE5jaCMa5jn",Hair,Born This Way (Special Edition),2011-05-16
USCM51100126,"608a1wIsSd5KzMEqm1O7w3",I'm On One,We The Best Forever,2011-05-20
USUM71027271,"7qxgBX1BU0B2hwp7NjQV9Y",Look It Up,Where Country Grows (Deluxe Edition),2011-01-01
USQX91100411,"07aAviYHmmianooIQN2JWq",My Man,"Glee: The Music, Volume 6",2011-05-17
USQX91100412,"2WCeDB0ppNhSVyiBNjPttT",Pure Imagination,"Glee: The Music, Volume 6",2011-05-17
USUM71106610,"6ZKOTsLgLGiF6hLVm4W4D2",Right There,Killer Love (Deluxe Edition),2011-05-17
USSM11102635,"1pzJboOZaDNwshBnOlNh3a","1+1","4",2011-05-26
USQX91100413,"6MNjlV7s3Db9WqzfFlfN7e",As Long As You're There,"Glee: The Music, Volume 6",2011-05-20
USA2P1173908,"5yzE4vbZgPGEfUegXl8Qzl",Donald Trump,Best Day Ever (5th Anniversary Remastered Edition),2011-03-11
USQX91100422,"2GA3eap88cOrNirTW6McSN",For Good,"Glee: The Music, The Complete Season Two",2011-05-23
USCM51100147,"7xyN0pha5zIbwvXeIADGpe",How To Love,Tha Carter IV (Explicit Version),2011-01-01
USQX91100421,"0EUfhgUuAK8qeRgD4y1fwR","I Love New York / New York, New York",Glee Season 2,2011-05-24
GBCTA1100160,"3wtKovRRtvu6wbTjeKA26Q",I Love You This Big,Clear As Day,2011-05-27
USQX91100415,"1Et2wMhDPqbu5y4sGRt6Ue",Light Up The World,"Glee: The Music, Volume 6",2011-05-20
GBCTA1100217,"7t8oQycrEftd8NuWdCcfQb",Like My Mother Does,Wildflower,2011-05-25
USUM71026642,"454h9zAIuTe1eJyw9iTnj4",Man Down,Loud,2010-08-18
USUM71106431,"1k18nxjYj8R5iz82Ap7GEY",Marry The Night,Born This Way,2011-05-20
USAT21100077,"4Nomj38R7Ds0P8I8orW2Tv",Out Of My Head,Lasers,2011-03-04
USQX91100414,"2uq0ZXtL4mF5pvZ8LeVIDo",Pretending,"Glee: The Music, Volume 6",2011-05-20
GBUM71104108,"2BITwiK9v9dpCVWe89Oj6s",Rise Above 1,Rise Above 1,2011-05-26
USUM71106457,"6rkAY9rk1NTFB94QxG3LJR",You And I,Born This Way,2011-01-01
USBN11000011,"1t2hJFgJyUPD2crOafMUEk",You And Tequila,Hemingway's Whiskey,2010-09-28
USSM11101542,"5ilbsx6qkdgTZLptWIvXEV",Best Friend's Brother,Victorious: Music From The Hit TV Show (feat. Victoria Justice),2011-08-01
USSM11102904,"3lBRNqXjPp2j3JMTCXDTNO",Best Thing I Never Had,"4",2011-06-01
USA371198865,"1N4jhCFeE0hrZGYfpJsSAF",Cat Daddy,Cat Daddy - Single,2011-02-16
GBAYE1101193,"2U8g9wVcUu9wsg6i7sFSv8",Every Teardrop Is A Waterfall,Mylo Xyloto,2011-10-24
USJAY1100015,"62zFEHfAYl5kdHYOivj4BC",International Love,Planet Pit (Deluxe Version),2011-06-17
USWB11001855,"6SoUUr6i1X0GReHinApeKI",Iridescent,A Thousand Suns,2010-09-08
USUM71103865,"1ZxNwqYsJA41CKf2YEhmIK",Just Fishin',Proud To Be Here (Deluxe Edition),2011-01-01
USZXT1108631,"2kebNtlS7DqWE54Z66FZIt",Keep Your Head Up,Andy Grammer,2010-10-12
USCA21001264,"3avYqdwHKEq8beXbeWCKqJ",Last Friday Night (T.G.I.F.),Teenage Dream,2010-08-24
USCRB1109549,"7B6m8tHAYZsOKOKMU5SR2n",Take A Back Road,Take A Back Road,2013-01-01
USAT21001523,"5LLc3Nn2FCLJXvNJ4a2UxS",Unusual,"Passion, Pain & Pleasure (Deluxe Version)",2010-09-13
USHR11132666,"1P5RYVvxPVrzonLqAC8uxk",Bang Bang Bang,When The Sun Goes Down,2011-06-24
USUM71109504,"5xbtFVrkqpVD8lzHOI9lR7",Heartless,Heartless (The Voice Performance),2011-06-07
USUM71108871,"7Lmwj2fe8MpGXypOuLGO2C",Made In America,Clancy's Tavern,2011-10-21
USAT21101199,"04BSvYghzdxjSJNpee36er",Monster,Monster,2011-06-07
USJAY1100058,"6j7hih15xG2cdYwIJnQXsq",Not Over You,Sweeter,2011-05-17
USJAY1100079,"0c7wqpBLOTFr1yb70LHGFM",Pause,Planet Pit (Deluxe Version),2011-06-17
USUM71103576,"6wxwluMol35MvBMIej6NNl",Teenage Daughters,Eleven,2011-10-10
USSD11100045,"1sQrCwV8vvtYLqa0KQlwE9",You,Fórmula Vol. 1 (Deluxe Edition),2012-08-28
USUM71109858,"6jUMZqTfYABabGcK74L6KT",Angel,Angel (The Voice Performance),2011-01-01
USUM71109856,"06U35pxlKogSswUXIg8620",Black Horse And The Cherry Tree,The Voice: Season 1 Highlights,2011-01-01
USUM71109860,"32HGQzCUDOtHJ3qd57TpzY",Jolene,Jolene (The Voice Performance),2011-06-14
USUM71108179,"5zpDHEU12zATwLGvozxPw2",Lighters,Hell: The Sequel (Deluxe),2011-06-13
USUM71017375,"74W0bOVbd1xLglztYp8bbl",Love Done Gone,Enjoy Yourself,2010-09-21
USUM71109455,"41ZoRomjH8tkdqItTnDGkM",Price Tag,Price Tag (The Voice Performance),2011-01-01
USJAY1100071,"2cZrrQMjB63c0iIugYH9zS",Rain Over Me,Planet Pit (Deluxe Version),2011-06-10
USHR11132696,"4wlvpicr0iYmgdtKOjYF62",See No More,Fastlife,2011-06-13
USAT21101071,"0qOnSQQF0yzuPWsXrQ9paz",Stereo Hearts,The Papercut Chronicles II,2011-06-14
NLC281011180,"4iD3msRl5hJUBEtrQwnR4k",Take Over Control,Take over Control (feat. Eva Simons),2011-01-04
USUM71106685,"7qGHAkt0DcvSJNwBPF7e31",Today Is Your Day,Today Is Your Day,2011-01-01
USLXJ1006026,"454JIJlQ8GvrCoBvSfq3KA",Country Must Be Country Wide,Halfway To Heaven (Deluxe Edition),2010-03-16
USUM71110267,"461aKwfe43LKvJ1sm2BiHH",Dog Days Are Over,Dog Days Are Over (The Voice Performance),2011-06-21
USUM71110271,"36i9buM6LLNqaprbNZhUJ3",Fix You,Fix You (The Voice Performance),2011-01-01
USUM71110254,"0Q5U5alAt2pjop9331E5cQ",Losing My Religion,Losing My Religion (The Voice Performance),2011-06-21
USHR11132668,"0laYHRpNTS6i8FXdupHkJ4",Love You Like A Love Song,When The Sun Goes Down,2011-06-24
USUM71109132,"7LcfRTgAVTs5pQGEQgUEzN",Moves Like Jagger,Hands All Over,2010-09-20
