id,name,genres,followers,musicbrainz_id,type,country_of_origin,date_of_origin,year_of_origin,disambiguation,needs_review
17lzZA2AlOHwCwFALHttmp,2 Chainz,"['southern hip hop', 'rap']",8365079.0,dff0d392-4cd5-4052-9fbb-f485df3891e5,Person,US,,1976-09-10,fka Tity Boi,False
5gCRApTajqwbnHHPbr2Fpi,Juicy J,['crunk'],3317987.0,569c0d90-28dd-413b-83e4-aaa7c27e667b,Person,GB,,1965-07-31,English novelist,False
3CygdxquGHurS7f9LjNLkv,Little Big Town,['country'],2894641.0,76e78b58-f301-4975-8058-7f84d8360738,Group,US,,1998,,False
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,"['country', 'pop country', 'acoustic country']",5616571.0,c16817df-0160-490d-a437-c128cbca9218,Group,US,,2010,,False
3KV3p5EY4AvKxOlhGHORLg,Jeremih,[],7304569.0,1c009a08-74d1-4682-bc56-8bfbe9e66b62,Person,US,,1987-07-17,American R&B singer,False
0A0FS04o6zMoto8OKPsDwY,YG,['hyphy'],3501277.0,6b1cf581-17a9-42c3-927b-d1e2797b1695,Person,US,,1990-03-09,US rapper,False
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,['soft pop'],123814995.0,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Person,GB,,1991-02-17,UK singer‐songwriter,False
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,['country'],3351381.0,6bd7faa9-601f-44db-a2a6-239209f83156,Person,US,,1975-11-20,American country music singer,False
6eKWqnckwdIlSnjaYgIyxv,Eli Young Band,"['country', 'texas country', 'red dirt', 'acoustic country']",898588.0,80737f69-60c5-4c0d-9562-88faf8d8f2f4,Group,US,,2000,,False
6oMuImdp5ZcFhWP0ESe6mG,Migos,['trap'],14747666.0,0221734a-35a8-40f7-b5c5-2f61a200bc7c,Group,US,,2008,,False
0TnOYISbd1XYRBk9myaseg,Pitbull,[],12165964.0,d262ea27-3ffe-40f7-b922-85c42d625e67,Person,US,,1981-01-15,American rapper,False
3s73tswJycj6HTBNNN393z,John Ryan,[],7640.0,53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,Person,US,,1932-02-08,American score composer,False
2iojnBLj0qIMiKPvVhLnsH,Trey Songz,['r&b'],7782488.0,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Person,US,,1984-11-28,,False
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,[],85926249.0,e0140a67-e4d1-4f13-8a01-364355bee46e,Person,CA,,1994-03-01,,False
2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,[],802524.0,1fc494a1-9109-4081-a455-2d05bea9d2bf,Person,US,,1979-12-08,,False
23zg3TcAtWQy7J6upgbUnj,USHER,['r&b'],14038072.0,3414d446-735a-443c-931f-10634f57e5b9,Person,US,,1978-10-14,American R&B singer‐songwriter,False
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,[],3707577.0,56756959-1e78-429c-b897-e1d056cb0225,Person,SE,,1987-10-29,,False
4zxvC7CRGvggq9EWXOpwAo,Kiesza,[],311121.0,87ff5ccd-64cd-45d6-bba3-ba2647e85d74,Person,CA,,1989-01-16,,False
1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,"['country', 'acoustic country']",2588971.0,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,Person,US,,1919-03-17,,False
34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,[],1608929.0,4ec3b7d8-efbb-4672-8067-5e72bd8dba3e,Person,,,1994-08-04,,False
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,"['country', 'acoustic country']",2503555.0,b0122194-c49a-46a1-ade7-84d1d76bd8e9,Person,US,,1917-08-22,"US blues singer, songwriter & guitarist",False
6s22t5Y3prQHyaHWUN1R1C,AJR,[],3693648.0,2eb55bd9-cfbf-44fd-a5da-92dd825284c7,Group,US,,2006,American indie pop band,False
6nS5roXSAGhTGr34W6n7Et,Disclosure,['house'],2366814.0,ae65c507-d9a0-4d42-9a6c-2b1f82158b9f,Group,GB,,2010,UK electronic duo Guy & Howard Lawrence,False
2wY79sveU1sp5g7SokKOiI,Sam Smith,['soft pop'],26562844.0,5a85c140-dcf9-4dd2-b2c8-aff0471549f3,Person,GB,,1992-05-19,English singer‐songwriter,False
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,"['country', 'pop country']",2496994.0,6c8fd0be-d961-454c-aee0-4366a6dbc993,Person,US,,1931-01-22,"American singer and songwriter, “King of Soul”",False
5pU9lKGn9IUnVvOCONrcIS,Rich Gang,[],211904.0,2469950a-f0ca-425a-bfbc-baf55ea3afde,Group,US,,1964,,False
5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,['southern hip hop'],2929863.0,d9547d08-4c2e-47fc-9451-b8e3f889716e,Person,US,,1989-10-04,,False
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,[],38414022.0,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Person,US,,1958-08-29,“King of Pop”,False
31TPClRtHm23RisEBtV3X7,Justin Timberlake,[],16077679.0,596ffa74-3d08-44ef-b113-765d43d12738,Person,US,,1981-01-31,,False
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,['r&b'],29105847.0,c234fa42-e6a6-443e-937e-2f4b073538a3,Person,US,,1989-05-05,US R&B/pop singer and dancer,False
5LHRHt1k9lMyONurDHEdrp,Tyga,[],7390146.0,ce09ea31-3d4a-4487-a797-e315175457a0,Person,US,,1989-11-19,,False
6KZDXtSj0SzGOV705nNeh3,Kid Ink,[],2975798.0,60614320-9caf-4ae4-bded-7140672fdf8a,Person,US,,1986-04-01,,False
04gDigrS5kc9YWfZHwBETP,Maroon 5,['pop'],46281947.0,0ab49580-c84f-44d4-875f-d83760ea2cfe,Group,US,,2001-05-24,American band,False
0kkxsdcaWmWU2yWAqclDh4,Rixton,[],769490.0,28aee606-d7a9-4b8d-b234-dd5e0d99c259,Group,,,,,False
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,"['country', 'classic country']",5090490.0,7e5cfc9a-e9e1-46f1-b81a-861b12049488,Person,US,,1967-05-01,"American country music singer, songwriter and actor",False
25NQNriVT2YbSW80ILRWJa,Faith Hill,['country'],1969784.0,406552d4-5ba1-4226-b7c0-367bc50fc767,Person,US,,1967-09-21,country pop singer,False
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,['country'],7541059.0,2ad66473-ccb3-41d2-8756-b56680cdfe62,Person,US,,1976-06-18,country music singer,False
6y1ruSFWowWNYPH34u9Nif,Gwen Sebastian,[],4317.0,24f1766e-9635-4d58-a4d4-9413f9f98a4c,Person,DE,,1685-03-21,German Baroque period composer & musician,False
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,['southern hip hop'],7793909.0,13bcb2bb-db37-4397-baf5-e0f085be2d64,Person,,,1976-01-28,US rapper,False
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,[],7812635.0,c78c3026-426b-4580-ab23-08490bb8b515,Group,US,,2013,,False
